batch_id,amine_smiles,cobalt_smiles,oxidant_smiles,alkali_smiles,solvent_smiles,yield,ee,select_tag
15,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,blanck_cell,ClCCCl,41,70,TRUE
15,C[C@@H]1CN(C[C@@H]([NH3+])C(C)(C)C)C[C@H](C)O1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,23,31,TRUE
15,CC(C)(C)[C@H]([NH3+])CN1CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Co-11,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,29,63,TRUE
16,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=C([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,0,0,TRUE
16,CC(C)[C@H]([NH3+])CN1CCOCC1.O=S(=O)([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,24,70,TRUE
16,CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=C([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,37,63,TRUE
16,CC(C)(C)[C@H]([NH3+])CN1CCCCC1.O=S(=O)([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,33,58,TRUE
16,O=S(=O)([O-])C(F)(F)F.[NH3+][C@@H]1CCCC[C@H]1NC(=O)C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,20,-24,TRUE
17,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,blanck_cell,ClCCl,43,63,TRUE
17,CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=C([O-])C(F)(F)F,Co-9,O=C1CCC(=O)N1Cl,blanck_cell,ClCCCl,37,71,TRUE
17,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,blanck_cell,ClC(Cl)Cl,25,20,TRUE
17,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Mn-1,O=C1c2ccccc2C(=O)N1Cl,blanck_cell,ClCCCl,35,61,TRUE
17,CC(C)(C)[C@H]([NH3+])CN1CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,blanck_cell,ClCCCl,34,11,TRUE
18,CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=C([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,blanck_cell,ClCCCl,36,61,TRUE
18,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-5,O=C1CCC(=O)N1Cl,blanck_cell,ClCCCl,26,68,TRUE
18,CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C.O=C([O-])C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,blanck_cell,ClCCCl,23,56,TRUE
18,CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=C([O-])C(F)(F)F,Co-9,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,34,63,TRUE
18,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-2,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCl,22,64,TRUE
19,CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=C([O-])C(F)(F)F,Co-11,O=C1CCC(=O)N1Cl,blanck_cell,ClCCCl,32,65,TRUE
19,O=S(=O)([O-])C(F)(F)F.[NH3+][C@H](CN1CCOCC1)c1ccccc1,Mn-1,O=C1c2ccccc2C(=O)N1Cl,blanck_cell,ClCCCl,24,43,TRUE
19,CC(C)(C)[C@@H]([NH3+])CN1CCSCC1.O=S(=O)([O-])C(F)(F)F,Mn-1,O=C1CCC(=O)N1Cl,blanck_cell,ClCCCl,23,65,TRUE
19,O=S(=O)([O-])C(F)(F)F.[NH3+][C@H](CN1CCOCC1)c1ccccc1,Co-11,O=C1c2ccccc2C(=O)N1Cl,blanck_cell,ClCCCl,28,10,TRUE
19,O=S(=O)([O-])C(F)(F)F.[NH3+][C@H](CN1CCOCC1)c1ccccc1,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,31,8,TRUE
20,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=C([O-])C(F)(F)F,Mn-1,O=C1CCC(=O)N1Cl,blanck_cell,ClCCCl,22,51,TRUE
20,CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=C([O-])C(F)(F)F,Mn-1,F[n+]1ccccc1,blanck_cell,ClCCCl,23,74,TRUE
20,CN(C)C[C@@H]([NH3+])C(C)(C)C.O=S(=O)([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,blanck_cell,ClCCCl,35,12,TRUE
20,CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=C([O-])C(F)(F)F,Co-9,F[n+]1ccccc1,blanck_cell,ClCCCl,50,80,TRUE
20,CC(C)(C)[C@@H]([NH3+])CN1CCSCC1.O=S(=O)([O-])C(F)(F)F,Co-9,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,30,37,TRUE
